acousticness,artists,danceability,duration_ms,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo,valence,year,decade
0.797,['Sam Cooke'],0.332,171320,0.39399999999999996,0,04mksGkKle0NWpOwGGc4Wh,2.1e-05,8,0.179,-10.899000000000001,1,Sweet Leilani,12,1960-04,0.0314,106.13799999999999,0.369,1960,1960.0
0.966,"['John Hughes', 'Frank Asper', 'Mormon Tabernacle Choir', 'Richard P. Condie', 'Alexander Schreiner']",0.311,130960,0.105,0,08nFFgiYbTGRxBaSYoXV2V,0.0,7,0.12,-18.84,1,"Guide Us, O Thou Great Jehovah - Voice",13,1960,0.0297,90.104,0.7,1960,1960.0
0.7490000000000001,['Frankie Avalon'],0.474,117093,0.22,0,0CUsZyJMSDjhdoQZxHhTtx,6.08e-06,4,0.154,-14.030999999999999,1,A Boy Without a Girl,13,5/1/1960,0.0262,98.988,0.361,1960,1960.0
0.6579999999999999,['The Everly Brothers'],0.623,152667,0.33299999999999996,0,0YBFwnejhmHiukKks1U3xu,0.00689,5,0.261,-16.293,1,Memories Are Made of This - Remastered Version,14,1960,0.0304,111.085,0.513,1960,1960.0
0.973,"['John Bacchus Dykes', 'Mormon Tabernacle Choir', 'Richard P. Condie', 'Alexander Schreiner', 'The Philadelphia Brass Ensemble & Percussion']",0.191,226067,0.138,0,0uMVXukzzOiWfSb1Lkq6k8,0.00286,4,0.0854,-17.177,1,"Holy, Holy, Holy - Voice",13,1960,0.0335,77.495,0.136,1960,1960.0
0.863,['The Everly Brothers'],0.555,161040,0.245,0,0w5LsmxCPcWsHATkKyudLz,0.0,9,0.248,-13.179,1,That's Just Too Much,17,1960-10,0.024,92.19200000000001,0.23399999999999999,1960,1960.0
0.878,"['Irving Burgie', 'Chad Mitchell Trio']",0.34600000000000003,198333,0.105,0,105uy0naf8koqJ6T3ibKZK,0.0,4,0.738,-25.573,1,I Do Adore Her - Live,14,1960,0.0779,113.016,0.37799999999999995,1960,1960.0
0.897,['Sheldon Allman'],0.623,114973,0.49200000000000005,0,12nkkqWkwrn3YgHI826m9r,0.0,2,0.094,-6.735,1,Girl in the 4th Dimension,11,12/13/1960,0.046,144.934,0.6759999999999999,1960,1960.0
0.589,['Enrique Guzman'],0.617,121160,0.815,0,14KYHUXP10UdTx4RawPF65,0.000366,4,0.12300000000000001,-8.724,1,Oye Niña (Let's Dance),25,1960,0.040999999999999995,85.041,0.9640000000000001,1960,1960.0
0.7879999999999999,['Miles Davis'],0.513,229227,0.113,0,1XAawSAtfaJhe7fBShgZ9P,0.0,11,0.1,-12.011,0,Will o' the Wisp - Mono Version,14,1/1/1960,0.0354,140.629,0.268,1960,1960.0
0.7979999999999999,['Johnny Cash'],0.862,163046,0.484,0,1haa24pizZtLi3Kjd0EySS,0.0009960000000000001,10,0.105,-11.183,1,I Walk the Line,13,1960,0.0421,105.834,0.787,1960,1960.0
0.904,['Burl Ives'],0.496,187067,0.272,0,1jYWkA4NhmU3BHXZyYWQN2,0.0,3,0.10800000000000001,-10.95,1,Riders In the Sky (Cowboy Legend),12,6/20/1960,0.0317,114.02,0.175,1960,1960.0
