acousticness,artists,danceability,duration_ms,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo,valence,year,decade
0.18,['Jimmy Cliff'],0.6659999999999999,168933,0.42200000000000004,0,0odALYQ2EfLc5A1oVh8OVA,1.99e-06,11,0.265,-15.987,1,Hello Sunshine,25,1970,0.076,169.09099999999998,0.904,1970,1970.0
0.9790000000000001,"['Tomaso Albinoni', 'Claudio Scimone', 'I Solisti Veneti', 'Pierre Pierlot']",0.26899999999999996,366147,0.196,0,2r0CvuZxyVVpElFjN2yTab,0.8809999999999999,10,0.133,-17.923,1,"Albinoni: Oboe Concerto No. 2 in D Minor, Op. 9: II. Adagio",38,1970,0.0436,70.446,0.0753,1970,1970.0
0.00557,['The Velvet Underground'],0.647,195347,0.539,0,3XWHY4VhsoaaZLbtkc30ok,0.0,2,0.317,-8.753,1,Sweet Jane - Mono; 2015 Remaster,29,1970,0.0361,106.24600000000001,0.915,1970,1970.0
0.594,['Elvis Presley'],0.415,150560,0.61,0,5eK22bi2XORGVMTHPWlSTZ,0.000586,5,0.35,-8.972999999999999,0,You Don't Have to Say You Love Me,38,11/1/1970,0.0472,115.171,0.662,1970,1970.0
0.9079999999999999,['Dionne Warwick'],0.691,179040,0.157,0,5o5fCEeIGC8igGmbXQZL8Q,7.39e-06,1,0.0898,-13.710999999999999,1,Raindrops Keep Falling on My Head,36,1970,0.0475,89.844,0.37799999999999995,1970,1970.0
0.0105,['Grand Funk Railroad'],0.456,209493,0.843,0,0FFIleakWHp8j90BxTtF0D,0.000233,4,0.0535,-7.721,1,Aimless Lady - Remastered,32,1970,0.125,135.217,0.932,1970,1970.0
0.39399999999999996,['Van Morrison'],0.439,353920,0.528,0,11RTqOn7Mm0LDQHiqi4EFD,0.016,7,0.0976,-14.054,1,Caravan - Take 1,29,1970-02,0.0536,153.85,0.581,1970,1970.0
0.532,['Curtis Mayfield'],0.561,196467,0.7070000000000001,0,20EEUzuosrE77u9EoL0SGi,0.0,0,0.19,-6.562,1,Wild and Free,32,1970,0.0502,109.07700000000001,0.605,1970,1970.0
0.688,['Bob Dylan'],0.589,177853,0.22399999999999998,0,23cMvOOt9IlfxQINoFifXA,0.000126,7,0.094,-14.014000000000001,1,Alberta #1,30,6/8/1970,0.0305,84.81,0.599,1970,1970.0
0.55,['Donny Hathaway'],0.41600000000000004,228013,0.429,0,2USPHdk6yeyJ8K3QltMPka,0.000128,9,0.168,-8.789,1,I Believe to My Soul,32,1/1/1970,0.0559,176.468,0.807,1970,1970.0
0.867,['Bob Dylan'],0.588,217987,0.371,0,2f6M51XJLbvIDWvQEPHdnj,0.0108,0,0.168,-11.867,1,Early Mornin' Rain,30,6/8/1970,0.0324,127.82700000000001,0.623,1970,1970.0
0.221,['B.B. King'],0.5670000000000001,310760,0.46,0,4TyBR6SFjvdxuweSlizgmd,0.624,2,0.109,-15.449000000000002,1,King's Special - Single Version,32,1/1/1970,0.0503,94.801,0.528,1970,1970.0
0.0163,['Genesis'],0.28800000000000003,540160,0.551,0,667vmbQnUl1Jzf3tZkIt2a,0.033,1,0.128,-13.015,1,The Knife,27,10/23/1970,0.0686,141.554,0.27,1970,1970.0
0.9079999999999999,['Johnny Mathis'],0.609,149627,0.38,0,6BZaceyM6nWzq0AUFcaEX1,0.0015199999999999999,5,0.0728,-10.527000000000001,1,Raindrops Keep Fallin' On My Head,31,2/25/1970,0.0343,109.514,0.612,1970,1970.0
0.8059999999999999,"['John Williams', 'Boston Pops Orchestra']",0.355,310800,0.243,0,6QmMCtfu6uHG1TbWHe0H7G,0.907,0,0.192,-17.724,1,"Raiders March (From ""Raiders of the Lost Ark"")",30,1970,0.0375,128.459,0.195,1970,1970.0
0.397,['Exuma'],0.37200000000000005,339067,0.757,0,1iJRCfV3qbbCrxzpAcqMvY,0.0,0,0.11900000000000001,-6.428,1,Dambala,30,1/1/1970,0.0309,106.265,0.462,1970,1970.0
0.847,"['Chet Atkins', 'Jerry Reed']",0.632,189867,0.431,0,2NHOjvWXSeg8BF464jzkMQ,0.789,0,0.126,-12.52,1,Tennessee Stud,28,9/24/1970,0.040999999999999995,94.045,0.677,1970,1970.0
0.763,['Johnny Pearson'],0.32899999999999996,220240,0.20600000000000002,0,4do1i6WwxBCnponPtzbLUh,0.917,4,0.109,-17.340999999999998,1,Sleepy Shores,39,1/1/1970,0.0321,153.528,0.204,1970,1970.0
0.759,['Yusuf / Cat Stevens'],0.584,204533,0.187,0,5GLpziaaaXuErUrTp7cQoa,0.00394,9,0.174,-17.208,1,Into White,33,11/23/1970,0.0298,110.85700000000001,0.284,1970,1970.0
0.0133,['The Rolling Stones'],0.603,218080,0.855,0,5ySFXncWYqD4970SaBPcWw,0.0924,2,0.48,-6.558,1,"Under My Thumb - Live From Madison Square Garden, New York/1969",31,9/4/1970,0.0302,124.742,0.853,1970,1970.0
0.107,['Gentle Giant'],0.337,382467,0.349,0,6BtkbdGq2dKe2kXSjuBS0p,0.221,9,0.08199999999999999,-16.675,0,Giant,35,1/1/1970,0.0367,145.549,0.434,1970,1970.0
0.332,['Chicago'],0.474,71869,0.32899999999999996,0,1V72rPGmEY7gVLmb3jaWFC,0.0104,8,0.381,-9.085,1,"So Much to Say, so Much to Give - 2002 Remaster",27,1/26/1970,0.053,160.452,0.285,1970,1970.0
0.0325,['The Rolling Stones'],0.44299999999999995,243133,0.884,0,3gwX9fGKdFczJwJK2MtvbL,0.679,4,0.978,-9.083,1,Jumpin' Jack Flash - Live,32,9/4/1970,0.049,137.62,0.616,1970,1970.0
0.94,['Tammy Wynette'],0.475,157933,0.212,0,5By0ncDilUYKg8peFDYP30,4.4e-05,4,0.0844,-11.673,1,There Goes My Everything,37,8/7/1970,0.0266,87.925,0.247,1970,1970.0
0.9840000000000001,"['Django Reinhardt', 'Stéphane Grappelli', 'Quintette du Hot Club de France']",0.758,157960,0.272,0,6UnMk57FMOLulWTq9UTtrT,0.444,5,0.297,-10.005,1,Oriental Shuffle,31,1970,0.0523,105.76100000000001,0.564,1970,1970.0
0.818,['Led Zeppelin'],0.563,247747,0.27399999999999997,0,0BdrS85U2cuh8a1PIaua7V,0.207,0,0.10400000000000001,-13.658,1,Key to the Highway / Trouble in Mind - Rough Mix,29,10/5/1970,0.11599999999999999,110.58200000000001,0.701,1970,1970.0
