decade,year,artists,name,genres,duration_ms,artist_song,release_date,valence,acousticness,danceability,energy,explicit,instrumentalness,key,liveness,loudness,mode,popularity,speechiness,tempo,id
2020,2020,King Von,Demon,"chicago rap, trap",133933,King Von - Demon,2020-10-30,0.35600000000000004,0.16,0.792,0.687,1,0.0,8,0.168,-7.506,1,71,0.25,140.00799999999998,3oD8cDM3m7cl3Zc38uxyK4
2020,2020,The Kid LAROI,PIKACHU,australian hip hop,133724,The Kid LAROI - PIKACHU,2020-11-06,0.248,0.0662,0.747,0.48700000000000004,1,0.0,7,0.36,-7.064,1,76,0.125,92.978,33QXHN1SzNgHIRPr7qYknV
2020,2020,"Kodak Black, CBE, Gucci Mane",I Knew It (feat. Gucci Mane & CBE),,133645,"Kodak Black, CBE, Gucci Mane - I Knew It (feat. Gucci Mane & CBE)",2020-11-11,0.332,0.145,0.63,0.77,1,0.0,7,0.105,-5.322,1,62,0.28300000000000003,172.007,4mr0vRAzsQmWE9oTTfkme2
2020,2020,"Kodak Black, CBE, Gucci Mane",I Knew It (feat. Gucci Mane & CBE),,133645,"Kodak Black, CBE, Gucci Mane - I Knew It (feat. Gucci Mane & CBE)",2020-11-10,0.382,0.133,0.593,0.741,0,0.0,7,0.1,-5.4110000000000005,1,31,0.259,85.696,0VoXIS52YCsU7MtwdeQHAw
2020,2020,iann dior,Pretty Girls,"melodic rap, pop rap",133608,iann dior - Pretty Girls,2020-06-12,0.62,0.276,0.732,0.511,1,0.0,6,0.0916,-6.779,1,75,0.0541,96.946,3fKdTr6Uv8HTb92Ih3QWxa
2020,2020,Championxiii,BOO!,viral rap,133565,Championxiii - BOO!,2020-10-16,0.522,0.039,0.9740000000000001,0.157,1,0.0,2,0.27899999999999997,-14.200999999999999,1,70,0.375,115.023,1eDyjPYw65g3wvQ7xJLF5c
2020,2020,Najma Wallin,Med slutna ögon,,133500,Najma Wallin - Med slutna ögon,2020-02-21,0.0838,0.9740000000000001,0.175,0.00759,0,0.925,7,0.113,-35.071999999999996,1,70,0.0454,70.872,6RuFOroO9VO0aMGEzirLHk
2020,2020,"Future, Lil Uzi Vert",Marni On Me,,133171,"Future, Lil Uzi Vert - Marni On Me",2020-11-12,0.10099999999999999,0.0199,0.7829999999999999,0.529,0,0.0,2,0.26899999999999996,-7.19,1,44,0.419,123.053,13kO8fwbgEydkeQf5kNpoO
2020,2020,"Future, Lil Uzi Vert",Marni On Me,,133171,"Future, Lil Uzi Vert - Marni On Me",2020-11-12,0.10099999999999999,0.0199,0.7829999999999999,0.529,0,0.0,2,0.26899999999999996,-7.19,1,22,0.419,123.053,2XRL5ooDWXgRfhYOnJIBWl
2020,2020,"Future, Lil Uzi Vert",Marni On Me,,133171,"Future, Lil Uzi Vert - Marni On Me",2020-11-13,0.11599999999999999,0.0187,0.759,0.52,1,0.0,2,0.313,-7.0420000000000025,1,73,0.447,123.189,6NaVCCFGylOLZAgk5eTTid
2020,2020,"Future, Lil Uzi Vert",Marni On Me,,133171,"Future, Lil Uzi Vert - Marni On Me",2020-11-13,0.11599999999999999,0.0187,0.759,0.52,1,0.0,2,0.313,-7.0420000000000025,1,59,0.447,123.189,5FmUNIsqr4gC4lwJtea8tX
2020,2020,"MC Virgins, Yun Head",Trap Anthem,,133018,"MC Virgins, Yun Head - Trap Anthem",2020-02-25,0.736,0.106,0.8190000000000001,0.8190000000000001,1,0.0,6,0.10800000000000001,-5.5310000000000015,0,75,0.17600000000000002,160.005,0CJgUQ8UemK2htS73Ye5U8
2020,2020,Polo G,Martin & Gina,chicago rap,132833,Polo G - Martin & Gina,2020-05-15,0.11599999999999999,0.345,0.8320000000000001,0.534,1,0.0,1,0.165,-7.813,0,87,0.253,93.92399999999999,1VLtjHwRWOVJiE5Py7JxoQ
2020,2020,YoungBoy Never Broke Again,Murder Business,"baton rouge rap, trap",132772,YoungBoy Never Broke Again - Murder Business,2020-09-11,0.612,0.114,0.773,0.733,1,0.0,10,0.718,-4.869,1,66,0.321,83.712,2crr8fnMCNKxypSNuHi5Jq
2020,2020,Princess Nokia,I Like Him,"escape room, lgbtq+ hip hop, trap queen",132453,Princess Nokia - I Like Him,2020-02-26,0.611,0.0641,0.893,0.579,1,0.000121,9,0.215,-8.995,1,76,0.113,133.018,68UU9oaQtMDnh6PRlW842H
2020,2020,6ix9ine,GOOBA,emo rap,132303,6ix9ine - GOOBA,2020-05-08,0.39299999999999996,0.0264,0.611,0.688,1,0.0,1,0.251,-5.688,1,80,0.341,178.46200000000005,4NhDYoQTYCdWHTvlbGVgwo
2020,2020,Ariana Grande,west side,"pop, post-teen pop",132279,Ariana Grande - west side,2020-10-30,0.557,0.18600000000000005,0.688,0.455,0,0.0,11,0.0794,-8.632,0,81,0.19899999999999998,87.865,1whfVLMKWqAX3uk97VXsNN
2020,2020,"Lil Peep, Lil Tracy",white tee,,132227,"Lil Peep, Lil Tracy - white tee",2020-06-10,0.728,0.293,0.7979999999999999,0.528,1,1e-06,11,0.0727,-8.908,1,78,0.042,149.995,6KjkgYu4mjsMVYy4aCzyw6
2020,2020,Joji,Tick Tock,"alternative r&b, viral pop",132215,Joji - Tick Tock,2020-09-25,0.613,0.0399,0.7809999999999999,0.613,0,0.00713,4,0.0976,-5.5820000000000025,0,75,0.0524,80.53,5E7p95xh9Ul4vZp4LEoJwi
2020,2020,Tory Lanez,Broke In A Minute,"canadian hip hop, melodic rap, pop rap, rap, toronto rap, trap",132024,Tory Lanez - Broke In A Minute,2020-04-10,0.802,0.14400000000000002,0.929,0.7,1,0.0,0,0.349,-5.595,0,78,0.0906,120.009,4xqIYGwwZTEem9U8A42SPF
2020,2020,"Bankrol Hayden, Luh Kel",Brothers (feat. Luh Kel),,131853,"Bankrol Hayden, Luh Kel - Brothers (feat. Luh Kel)",2020-06-26,0.7609999999999999,0.376,0.889,0.483,1,0.0,8,0.08800000000000001,-10.332,1,74,0.22699999999999998,120.995,49O5AqdaIGmnfz2d8TXL7Z
2020,2020,Joji,NITROUS,"alternative r&b, viral pop",131719,Joji - NITROUS,2020-09-25,0.381,0.556,0.8270000000000001,0.5489999999999999,0,0.6890000000000001,0,0.124,-8.187999999999999,0,73,0.0343,127.992,1RTYj0DKungYDHtgFQRtmx
2020,2020,Christian Nodal,Amor Tóxico,"mariachi, nuevo regional mexicano, ranchera, regional mexican",130760,Christian Nodal - Amor Tóxico,2020-05-29,0.8270000000000001,0.47100000000000003,0.607,0.5479999999999999,0,0.0,2,0.195,-3.4530000000000003,1,77,0.0258,150.189,5LPlvbxA6bJQHvUW12Mr22
2020,2020,Bazzi,Renee's Song,"pop, post-teen pop",130546,Bazzi - Renee's Song,2020-04-01,0.42,0.794,0.593,0.22899999999999998,0,0.0,9,0.16699999999999998,-8.888,1,71,0.0307,117.823,13iMiwdY7pgE1f7NwYKr1D
2020,2020,Machine Gun Kelly,can't look back,"ohio hip hop, pop rap",130312,Machine Gun Kelly - can't look back,2020-09-29,0.408,0.158,0.605,0.711,1,0.0,8,0.109,-3.592,0,69,0.0353,128.151,0SrNeyEck4arq4ASwjcq0H
