acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence
84.5,60.7,32.8,80.7,20.5,24.6586423,10.9,48.7783336,57.8
89.5,29.8,22.1,0.25,32.3,29.6334045,3.81,38.4717135,24.3
95,32.6,12.1,0,7.08,29.3616126,3.29,56.0112183,31.3
85.3,47.1,67.1,0,54.6,17.7004465,3.94,37.9677264,84.7
68.7,59.2,77.7,0,12,12.9424707,5.63,33.0186902,89.4
54.6,53.4,31.5,0,10.5,25.8849414,8.74,42.2181293,71.3
74.6,47.6,49.6,0,46.8,21.9844043,3.55,47.1843278,88.6
57.5,81.9,77.4,84.9,54.9,15.3335922,3.67,50.2651793,96.8
55.8,47.6,92.3,0,15.7,12.7628939,8.5,37.7274535,80.8
62.3,49.1,38.5,0,17.6,17.8153109,3.34,36.3389774,62.6
85.8,54.3,20.2,2.46E-04,33.2,24.7265903,3.46,53.6553716,64.8
28.6,40.6,68.8,6.83E-04,63.8,16.3139843,3.03,66.4157894,84.3
81.9,58.5,36.6,0.109,13.9,21.4861192,5.33,32.0090416,62.8
72,16.5,43.6,0,22.5,15.7461334,3.41,73.603466,31.4
60.6,52.7,54.9,87.8,8.37,26.4738239,4.87,53.3175663,78.5
95.7,65,18.6,1.02E-04,10.6,22.8919951,8.45,45.0779631,44.3
94.3,60.5,1.8,24.3,9.38,38.8500615,7.92,50.0027209,14.2
88,44.8,44,0,18.5,30.5005501,20.6,70.8223278,80.5
88.5,26.6,12.6,3.97E-03,11.7,28.6966932,3.88,73.4816551,22.4
72.9,49.7,26.3,9.78,14.6,32.6441468,3.51,45.7456205,41.4
49.1,66.8,45.3,77.4,56.5,29.4910373,5.35,40.9100232,35.4
96.1,27.5,11,88.8,10.8,35.8134343,3.56,69.7934239,46.6
95.4,33.7,13,69.8,32,28.0997217,4.03,24.6187656,20
78.9,46.6,20.5,0,9.9,23.9322462,3.15,35.2502145,50.2
96.2,42,7.27,68.5,15.5,29.9132854,4.62,27.392369,21.2
98.7,23.4,1.89,91.7,8.19,48.6523652,3.87,34.2861927,6.26
60.2,25,19,1.41E-03,9.92,25.0226493,3.29,25.9134766,8.76
96.6,22.3,16.5,90.2,20.3,29.4586812,5.13,37.8295904,60.6
59,56.4,35.2,7.09,26.6,28.4831424,4.12,57.6144331,63
36,54.1,64.4,20.7,5.21,23.4646994,14.8,59.353691,42
42,63.6,36.5,0,29.9,19.1079402,3.32,44.0725005,84
79.2,34.2,31.2,0,18.2,28.250178,5.46,33.1526403,35.3
95.7,35.2,32.6,0,6.18,16.909338,3.24,39.0991858,54.7
78.9,66,49.2,7.73,9.14,20.091568,3.15,51.8541619,74.1
87.2,40.3,24.2,0.777,10.4,30.3387692,5.5,62.2357102,9.13
86.5,34.7,28.7,0,15.9,26.9025432,4.05,48.2094644,42.1
58.1,77,70.7,1.49E-04,12.3,11.5317414,3.42,59.9907909,97.3
66.3,59.6,75.1,3.15E-04,45.2,10.4995794,3.5,55.0111974,96.3
77.6,50.7,43.3,0,21.4,20.3698311,3.09,31.0115323,79.8
56.9,56.4,36.4,0,35.8,20.1805475,2.55,35.8567572,73.5
79.4,61,16.1,0,8.79,26.1276128,3.79,45.6648318,58.5
47.6,32.4,42.6,1.99E-04,41.1,20.5623504,3.15,58.9623056,41.4
79.1,31.5,18.4,3.23E-04,16.9,28.9426001,4.15,34.4921409,22.5
68.3,60.5,81.6,2.40E-03,3.74,18.2844755,7.06,56.9057536,96.9
68.3,69.3,36.4,0.0348,22.9,26.1114347,4.58,53.616861,63.5
57.3,68.2,75.3,0.509,12.2,10.1792532,8.26,40.5910546,90
80,32.3,44.1,0,26.9,22.299877,7.61,33.9538291,19
83.2,44.7,30.8,16.5,13.7,33.0922798,3.61,56.4988803,69.1
69.3,69.9,18.3,1.31,7.58,26.6194266,5.61,44.8104816,27.7
82.4,65.8,23.9,0.0133,33.9,33.2993593,4.19,49.2915298,46.9
57.3,57.3,51.5,0,83.3,13.4714942,2.99,33.4029595,75.6
0.318,39,63.7,0.0129,44.3,10.2083738,2.73,37.8107537,68.1
88.9,43.3,22.6,90.3,33.5,35.6613603,4.5,82.254547,65.8
81.8,34.7,25.3,75.9,9.23,27.386268,3.45,64.3362147,43.6
65.6,47.7,29.4,0.175,22.7,26.1842361,4.67,43.7510203,35.4
99.2,60.8,18.3,0,7.57,34.5094804,4.54,39.4817807,38.6
65.6,59.8,76.7,1.21E-04,15.5,18.5449427,6.25,71.7750476,96.1
74.3,80,53.5,10.1,11.9,16.3544296,21.5,41.3219197,55.6
71.2,47.9,23,0,9.98,22.7172717,4.4,59.8656313,57.5
91.5,50.3,0.686,0,13.6,49.0503462,4.37,48.1244898,22.9
87.7,79.2,65,32.9,9.52,20.3002653,3.3,49.8763055,85.4
74.5,64.8,44.3,2.33,11.4,17.5855821,3.37,43.7439042,70.2
83,37.9,29.3,0,8.79,18.3750728,2.95,47.5598066,37.6
87.8,37.6,30.4,0.67,32.5,27.3005242,3.43,46.2990017,30.9
97.3,15,16.5,71.2,11.5,33.1214004,3.09,35.4021641,4.28
41.3,55.4,46,1.82E-04,28.7,20.4005695,4.52,56.1116809,53.1
55.6,57.1,75.1,0,6.46,18.3718372,5.85,38.092886,96.6
97.3,19.1,5.07,96.2,12.3,41.6197502,5.05,48.6142448,17.1
79.1,13,17.6,3.20E-03,14.4,22.0879441,4,33.5009104,17.1
91.6,48.9,18.2,0,14.2,34.0613473,5.25,28.5719668,56.1
85,56.8,18.9,52.7,13.3,40.927328,3.93,40.6274723,70.3
49.5,44.2,30.2,0.558,11.4,31.0813434,5.76,33.5335608,37.1
53.3,54,51.1,52.8,9.82,21.4408206,3.06,47.7833358,64.9
27.7,44.4,43.3,0,29.3,19.1710348,2.93,49.4999895,72
69,62.3,53.9,0,10,18.2165275,14.3,60.416501,94.1
